[Thu Sep 27 15:30:11.197657 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  34. ReflectionClass->__construct() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Container/Container.php:767, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197662 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  35. spl_autoload_call() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Container/Container.php:767, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197667 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  36. Composer\\Autoload\\ClassLoader->loadClass() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Container/Container.php:767, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197672 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP  37. Composer\\Autoload\\includeFile() /var/www/html/bookshelf/vendor/composer/ClassLoader.php:322, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784150 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP Fatal error:  Constant expression contains invalid operations in /var/www/html/bookshelf/app/Http/Controllers/BookController.php on line 12, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784190 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP Stack trace:, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784202 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP   1. {main}() /var/www/html/bookshelf/public/index.php:0, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784208 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP   2. App\\Http\\Kernel->handle() /var/www/html/bookshelf/public/index.php:55, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784214 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP   3. App\\Http\\Kernel->sendRequestThroughRouter() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784220 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP   4. Illuminate\\Routing\\Pipeline->then() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:151, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784226 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP   5. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:104, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784231 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP   6. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784236 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP   7. App\\Http\\Middleware\\CheckForMaintenanceMode->handle() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:151, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784242 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP   8. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:62, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784247 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP   9. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784268 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP  10. Illuminate\\Foundation\\Http\\Middleware\\ValidatePostSize->handle() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:151, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784274 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP  11. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/ValidatePostSize.php:27, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784279 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP  12. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784284 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP  13. App\\Http\\Middleware\\TrimStrings->handle() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:151, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:12.784289 2018] [php7:notice] [pid 1518] [client 127.0.0.1:49734] PHP  14. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:31, referer: http://dev.bookshelf.com/admin/accounts
